# iteration  loss_res  loss_bcs  loss_ut  l2_error  lambda_u  lambda_ut  lambda_r
2.010000e+04 1.092298e-01 2.597009e-05 4.212653e-03 9.225002e-03 6.277514e+03 3.089190e+01 1.033624e+00
2.020000e+04 8.287605e-02 3.951824e-05 1.634586e-03 1.076212e-02 6.310352e+03 3.294297e+01 1.031474e+00
2.030000e+04 1.174760e-01 2.174005e-05 2.096689e-04 9.550180e-03 6.090631e+03 3.123277e+01 1.033252e+00
2.040000e+04 1.034348e-01 2.997440e-05 3.908518e-04 9.884666e-03 6.086378e+03 3.139960e+01 1.033070e+00
2.050000e+04 8.062785e-02 2.591802e-05 3.962796e-03 9.477847e-03 6.574305e+03 3.394490e+01 1.030515e+00
2.060000e+04 9.584290e-02 3.243279e-05 8.185358e-04 1.034207e-02 5.995969e+03 3.076412e+01 1.033776e+00
2.070000e+04 1.387380e-01 2.370582e-05 1.232737e-02 9.374270e-03 6.347633e+03 2.960850e+01 1.035123e+00
2.080000e+04 1.067215e-01 2.130650e-05 2.633185e-03 8.905489e-03 6.302616e+03 3.055689e+01 1.034003e+00
2.090000e+04 9.322410e-02 2.267895e-05 2.009836e-03 8.875073e-03 6.106115e+03 3.146480e+01 1.032999e+00
2.100000e+04 1.799900e-01 6.111748e-05 7.495020e-04 9.214547e-03 6.246352e+03 3.099695e+01 1.033508e+00
2.110000e+04 5.708322e-02 2.936815e-05 1.763939e-03 9.486222e-03 6.266734e+03 3.035849e+01 1.034232e+00
2.120000e+04 9.080464e-02 1.562384e-05 3.620876e-04 8.717143e-03 6.016710e+03 2.843780e+01 1.036625e+00
